Domanda,Risposta_A,Risposta_B,Risposta_C,Corretta
Domanda 39 Il provvedimento finale deve essere:,Notificato agli interessati (corretta),Solo pubblicato in albo,Registrato in segreteria,A
Domanda 40 La validità del provvedimento amministrativo dipende:,Dalla legittimità e dalla competenza dell’organo che lo emette (corretta),Dalla durata dell’istruttoria,Dal consenso dell’interessato,A
Domanda 41 I provvedimenti amministrativi sono atti dotati:,Di efficacia normativa,"Di efficacia esterna, tipici e nominati, destinati a modificare situazioni giuridiche in modo autoritativo (corretta)","Di efficacia interna, atipici e destinati a modificare situazioni giuridiche in modo non autoritativo",B
Domanda 42 Il provvedimento amministrativo:,Contiene norme generali e astratte,Costituisce una fonte del diritto,Dispone nei confronti di uno o più soggetti determinati o determinabili (corretta),C
Domanda 43 L’esecutività del provvedimento amministrativo:,È la capacità del provvedimento di produrre immediatamente effetti sul destinatario (corretta),È la possibilità giuridica e di fatto di eseguire un provvedimento,"È l’idoneità del provvedimento ad essere coattivamente eseguito dalla PA, senza dover ricorrere ad un giudice",A
Domanda 44 L’atto amministrativo annullabile:,È immediatamente efficace e può essere caducato solo a seguito di tempestiva impugnazione giudiziale (corretta),È insuscettibile di produrre effetti,Non può essere sanato o convalidato,A
Domanda 45 Il provvedimento amministrativo privo di elementi essenziali è:,Nullo (corretta),Irregolare,Annullabile,A
Domanda 46 L’eccesso di potere:,È un vizio di merito dell’atto amministrativo,È un vizio di legittimità dell’atto amministrativo (corretta),È un vizio di legittimità dell’atto amministrativo per violazione di legge,B
Domanda 47 Il ricorso gerarchico è un ricorso:,In regime di autotutela,Giurisdizionale,Amministrativo (corretta),C
Domanda 48 Il ricorso straordinario al Presidente della Repubblica è:,Esperibile dopo la pronuncia del GA,Esperibile nei casi in cui si ritiene il provvedimento impugnato viziato per motivi di merito,Alternativo al ricorso davanti al GA (corretta),C
Domanda 49 Di norma ci si rivolge al GA nel caso di lesione:,Di un interesse legittimo (corretta),Di un diritto assoluto,Di un diritto soggettivo,A
Domanda 50 Nel nostro ordinamento giuridico è giudice amministrativo di primo grado il:,Consiglio di Stato,Giudice di Pace,TAR (corretta),C
Domanda 51 L’attività della PA:,"Può essere discrezionale o vincolata, a seconda dei casi (corretta)",È sempre vincolata,È sempre discrezionale,A
"Domanda 52 La discrezionalità amministrativa, ossia la libera scelta dell’amministrazione:",Implica l’individuazione da parte del privato del criterio che la PA dovrà seguire nell’effettuare una,"Implica l’individuazione di un criterio dato dalla comparazione di più interessi secondari, pubblici e privati, in ordine ad un interesse pubblico da perseguire (corretta)",Non richiede da parte della PA l’individuazione di un criterio da seguire nella scelta,B
"Domanda 53 Quando la PA pone in essere valutazioni discrezionali, nell’operare il sacrificio degli interessi secondari occorre vengano rispettati i seguenti canoni di:","Efficienza, imparzialità e buona amministrazione (corretta)","Rapidità, segretezza e buona amministrazione","Efficienza, tassatività e parzialità",A
Domanda 54 Il potere discrezionale della P.A. può intervenire sui seguenti aspetti:,"Chi, come, dove, quando","Chi, cosa, come, dove","Se, cosa, come, quando (corretta)",C
Domanda 55 La violazione dei limiti all’esercizio del potere discrezionale rende l’atto:,Inopportuno,Illegittimo (corretta),Inqualificabile,B
Domanda 56 La discrezionalità tecnica indica la facoltà della scelta della P.A.:,Tra più soluzioni normative prospettabili in relazione all’adozione di un determinato provvedimento,Tra più soluzioni politiche prospettabili in relazione all’adozione di un determinato provvedimento,Tra più soluzioni tecniche prospettabili in relazione all’adozione di un determinato provvedimento (corretta),C
Domanda 57 Viene accertato un illecito: la PA adotta automaticamente un ordine di demolizione. L’attività svolta è:,Discrezionale,Libera,Vincolata (corretta),C
Domanda 58 Il procedimento amministrativo è una sequenza:,"Di atti, attività e comportamenti (corretta)",Di prassi e comportamenti concludenti,Esclusivamente di atti e attività,A
Domanda 59 La fase istruttoria nel procedimento amministrativo:,Consiste nell’insieme di attività poste in essere dall’autorità procedente al fine di acquisire gli elementi necessari per la decisione (corretta),"È l’insieme delle operazioni successive all’atto finale, necessarie affinché questo divenga efficace",Consiste nell’adozione dell’atto finale,A
"Domanda 60 In mancanza di diverse disposizioni di legge o di regolamento, il termine per la conclusione del procedimento amministrativo è:",180 giorni,90 giorni,30 giorni (corretta),C
Domanda 61 Il fondamento giuridico del diritto di accesso va individuato nel principio di:,Differenziazione,Trasparenza (corretta),Decentramento,B
Domanda 62 Per “diritto di accesso” si intende il diritto degli interessati di:,Prendere visione ed estrarre copia dei documenti amministrativi (corretta),Esperire un rimedio amministrativo,Ricorrere in giudizio,A
Domanda 63 Al fine di esercitare il diritto di accesso agli atti occorre la titolarità di un interesse:,"Eventuale, indiretto, astratto",Futuro e incerto,"Attuale, diretto, concreto (corretta)",C
Domanda 64 Ai sensi della legge 241/90 oggetto del diritto di accesso sono:,Solo gli atti finali del procedimento amministrativo,Anche atti non più o non ancora esistenti,Anche gli atti interni al procedimento amministrativo (corretta),C
Domanda 65 Sono esclusi dal diritto di accesso:,Tutti i tipi di provvedimenti amministrativi,Gli atti detenuti da una PA e concernenti attività di pubblico interesse,Di norma i documenti coperti da segreto di Stato (corretta),C
"Domanda 66 L’interessato, al fine di esaminare o estrarre copia dei documenti amministrativi:",Non deve formulare alcuna richiesta,Deve formulare una richiesta motivata (corretta),Deve formulare una richiesta generica,B
"Domanda 67 Nel caso di accesso a dati sensibili e giudiziari, il diritto di accesso è consentito:",Mai,Sempre,In base alla valutazione relativa all’indispensabilità dell’accesso ai fini della tutela della posizione del richiedente (corretta),C
Domanda 68 Per dati sensibilissimi si intendono i:,Dati di natura giudiziaria,Dati anagrafici,Dati idonei a rivelare lo stato di salute o la vita sessuale (corretta),C
"Domanda 69 Decorsi 30 giorni dalla richiesta di accesso, questa si deve intendere:",Ancora in fase di valutazione,Accolta,Respinta (corretta),C
Domanda 70 LA PA può differire l’esercizio del diritto di accesso:,No,"Sì, motivando il differimento (corretta)","Sì, senza fornire spiegazioni",B
Domanda 71 L’illecito penale è:,Un fatto naturale contrario all’ordinamento giuridico,Un fatto umano contrario all’ordinamento giuridico (corretta),Un fatto umano contrario all’ordinamento morale,B
Domanda 72 Il principio di legalità in diritto penale prevede che:,La norma deve prevedere solo il precetto,La norma deve prevedere sia la sanzione che il precetto (corretta),La norma deve stabilire solo il tipo di sanzione,B
Domanda 73 Per il principio di tassatività in diritto penale:,La norma può essere redatta anche non in maniera chiara purché comprensibile,La norma deve essere stabilita con legge statale,La norma deve essere redatta in maniera chiara e non deve dare adito a dubbi (corretta),C
Domanda 74 Il principio di tipicità in diritto penale richiede che:,La fattispecie concreta coincida perfettamente con la fattispecie legalizzata (corretta),La norma non sia retroattiva,La norma contenga solo elementi normativi,A
Domanda 75 Per il principio di offensività in diritto penale:,"Se l'azione umana non realizza un evento di danno, non è punibile","L'azione umana può essere punita pur se rimane a livello intenzionale, senza realizzare un danno o un pericolo",L'azione umana deve realizzare una lesione del bene giuridico tutelato o quanto meno metterlo in pericolo (corretta),C
Domanda 76 L’ammenda è:,Una sanzione penale pecuniaria (corretta),Un risarcimento del danno civile,Un ammonimento,A
Domanda 77 Il reato si distingue in:,"Delitti, contravvenzioni ed illeciti amministrativi","Delitti, illeciti amministrativi e multe",Delitti e contravvenzioni (corretta),C
Domanda 78 L'illecito civile ha come conseguenza sanzionatoria:,Il pagamento di una ammenda,Il pagamento di una somma di denaro di tipo risarcitorio/riparatorio (corretta),Il pagamento di una multa,B
Domanda 79 L'illecito disciplinare è:,Un illecito amministrativo (corretta),Un illecito civile,Un illecito penale,A
Domanda 80 L'oblazione estingue:,Il CSM,L’ANAC <-- Risposta corretta,L’ENAV,B
Domanda 105: Il “whistleblowing” è:,Un sistema di comunicazione tra i Responsabili della Prevenzione della Corruzione,Un sistema informatico per la rilevazione dei reati di corruzione,Un istituto di prevenzione della corruzione mutuato dall’esperienza dei Paesi anglosassoni  <-- Risposta corretta,C
Domanda 116: Che tipo di variazione di pena causano le circostanze ad effetto speciale?,superiore ad un terzo  <-- Risposta corretta,di un terzo,di un quarto,A
Domanda 117: Qual è il regime di imputazione delle circostanze attenuanti?,oggettivo  <-- Risposta corretta,soggettivo,misto,A
Domanda 118: Che tipo di vincolo lega i concorrenti nel concorso di persone?,occasionale  <-- Risposta corretta,stabile,costante,A
Domanda 119: Con quante condotte si realizza il concorso formale di reati?,tre condotte,due condotte,con una sola condotta  <-- Risposta corretta,C
"Domanda 120: Sul piano sanzionatorio, quale regola si applica al reato continuato?",cumulo materiale,cumulo giuridico  <-- Risposta corretta,entrambi,B
"Domanda 121: Nelle ipotesi di aberratio ictus, il titolo di imputazione soggettiva del",preterintenzionale,colposo,doloso &lt;-- Risposta corretta,C
"Domanda 122: Nell’uso legittimo delle armi, la proporzione è un requisito:",implicitamente deducibile dalla disposizione &lt;-- Risposta corretta,Non richiesto dalla fattispecie,ritenuto necessario da parte della dottrina minoritaria,A
Domanda 123: È una scriminante propria:,Uso legittimo delle armi &lt;-- Risposta corretta,Legittima difesa,Adempimento di un dovere,A
Domanda 124: L’errore su legge extrapenale:,Ha rilevanza laddove si traduca in un errore sul fatto tipico &lt;-- Risposta corretta,Ha rilevanza in quanto la pena è diminuita di un terzo,Non ha alcuna rilevanza in quanto è un errore sul precetto,A
Domanda 125: Quale elemento fanno venire meno le cause di giustificazione?,Colpevolezza,Tipicità,Antigiuridicità &lt;-- Risposta corretta,C
Domanda 126: La scriminante del consenso dell’avente diritto può applicarsi rispetto,Diritti indisponibili,Diritti disponibili &lt;-- Risposta corretta,Diritti che coinvolgano interessi statali,B
"Domanda 127: L’agente provocatore, secondo la giurisprudenza, non risponde in",Manca il dolo di partecipazione nel reato,Il fatto non è tipico,Scriminato ai sensi dell&#39;art. 51 c.p. &lt;-- Risposta corretta,C
Domanda 128: Nella legittima difesa è richiesto che il pericolo sia:,Dimostrato,Probabile,Attuale &lt;-- Risposta corretta,C
Domanda 129: In caso di esecuzione di un ordine del superiore manifestamente,Risponde del reato solo se è previsto dalla legge come delitto,Non risponde del reato commesso se ha notiziato i suoi superiori per iscritto,Risponde del reato commesso &lt;-- Risposta corretta,C
Domanda 130: Si può fare ricorso allo stato di necessità in caso di:,Pericolo attuale di grave danno alla persona &lt;-- Risposta corretta,Pericolo attuale di un offesa ingiusta,"Pericolo attuale di un offesa a beni personali o patrimoniali, se di elevato valore",A
Domanda 131: L’uso legittimo delle armi rappresenta:,Una causa soggettiva di esclusione del reato,Una causa di giustificazione o scriminante,Una fattispecie di reato,B
Domanda 141: Sono pubblici ufficiali,"Coloro i quali esercitano una pubblica funzione legislativa, giudiziaria o amministrativa.",Tutti gli appartenenti alla P.A.,Solamente coloro che esercitano una pubblica funzione amministrativa,A
Domanda 142: Un senatore della Repubblica,è incaricato di pubblico servizio,non è né Pubblico Ufficiale né Incaricato di Pubblico Servizio,è pubblico ufficiale nell’esercizio della sua funzione.,C
Domanda 143: L’elemento soggettivo nel peculato è previsto:,indifferentemente sia nella forma dolosa che in quella colposa,solo nella forma dolosa.,solo nella forma colposa.,B
Domanda 144: L’usciere di un ospedale pubblico è:,pubblico ufficiale,esercente un servizio di pubblica necessità,non riveste alcuna delle predette qualifiche,C
Domanda 145: Un Agente della Polizia di Stato in servizio di o.p. è:,pubblico ufficiale,ufficiale di pubblica sicurezza,esercente un servizio di pubblica necessità,A
"Domanda 146: Il funzionario dell’Ufficio Urbanistico che, nottetempo, accede all’Ufficio Cassa e lo svaligia compie:",peculato d’uso,furto,peculato,B
Domanda 147: L’agente di Polizia che usa episodicamente l’auto di servizio per fini privati commette:,peculato d’uso,appropriazione indebita,danneggiamento,A
Domanda 148: Il peculato è un:,reato comune,reato contro il patrimonio,reato proprio,C
Domanda 149: L’errore nel peculato mediante profitto dell’errore altrui deve:,essere spontaneo nella vittima,essere provocato dal reo e determinare un danno di rilevante gravità,essere provocato intenzionalmente dal reo,A
Domanda 150: Il tentativo di peculato è:,Ammissibile,Inammissibile,Previsto da specifica disposizione speciale,A
Domanda 151. La concussione è un reato,contro la P.A. (corretta),contro il patrimonio,contro l’incolumità pubblica,A
Domanda 152. La concussione si realizza,simulando l’appartenenza alla P.A.,con artifizi o inganni,mediante abuso della qualità o dei poteri del pubblico ufficiale (corretta),C
"Domanda 153. Il privato, nel caso di concussione:",è soggetto passivo del reato insieme alla P.A. (corretta),è concorrente nel reato,"è concorrente, ma subisce l’inflizione di una pena inferiore",A
Domanda 154. Nella concussione il rapporto tra funzionario e soggetto passivo è retto da:,parità tra le parti,preminenza del pubblico ufficiale,sottile e velata pressione (corretta),C
Domanda 155. La prestazione del pubblico ufficiale o dell'incaricato di pubblico servizio nella corruzione propria consiste:,nella prestazione di danaro o altra utilità,nell’esercizio dei poteri o delle funzioni,nell’adozione di un atto contrario ai doveri di ufficio ovvero nell’omissione o ritardo di un atto del proprio ufficio (corretta),C
Domanda 156. Nell’induzione indebita il privato:,è persona offesa,non è punito,"è punito, ma con pena inferiore rispetto all’agente pubblico (corretta)",C
Domanda 157. Nella corruzione sono punibili:,solo pubblico ufficiale o incaricato di pubblico servizio,sia il privato che il pubblico ufficiale o incaricato di pubblico servizio (corretta),solo il privato,B
Domanda 158. La concussione è:,un reato monosoggettivo a concorso eventuale (corretta),un reato a concorso necessario,un reato comune,A
Domanda 159. Nel delitto di corruzione il tentativo:,non è ammissibile perché penalmente irrilevante,è ammissibile e si applica l’art. 56 c.p. secondo le regole generali,non è ammissibile perché opera l’art. 322 c.p. sull’istigazione alla corruzione (corretta),C
Domanda 160. Nella corruzione impropria la prestazione del pubblico ufficiale consiste:,nell’esercizio del potere o delle funzioni (corretta),nell’omissione di un atto legittimo,in un atto illegittimo,A
Domanda 161 Nel rifiuto di atti d’ufficio l’atto rifiutato deve essere:,generale,indifferibile (corretta),Prefettizio,B
Domanda 162 L'atto rifiutato ai sensi del primo comma dell'art. 328 c.p. può concernere:,Urbanistica,Igiene pubblica,Ordine e sicurezza pubblica (corretta),C
Domanda 163 L’atto omesso ai sensi dell’art. 328 co. 2 c.p. può concernere:,necessariamente igiene e sanità,necessariamente ordine e sicurezza pubblica,qualsiasi ambito (corretta),C
Domanda 164 A seguito di diffida il funzionario può evitare la consumazione del reato di omissione di atti d’ufficio:,rispondendo entro sessanta giorni,avvertendo il superiore gerarchico,rispondendo entro trenta giorni (corretta),C
Domanda 165 Il rifiuto di atti d’ufficio:,non presuppone alcuna sollecitazione del privato (corretta),presuppone un’istanza,presuppone una diffida,A
Domanda 166 Il tentativo nei delitti di cui all’art. 328 c.p.:,è ammissibile,è inammissibile (corretta),è ammissibile per il rifiuto e inammissibile per l'omissione,B
Domanda 167 L’indebita destinazione di denaro o cose mobili è:,un reato proprio (corretta),un reato contravvenzionale,un reato comune,A
Domanda 168 Che caratteristiche ha il vantaggio conseguito dal Pubblico Ufficiale o incaricato di pubblico servizio per sé o per altri nel delitto di indebita destinazione di denaro o cose mobili?,ingiusto e patrimoniale (corretta),patrimoniale,ingiusto,A
Domanda 169 Qual è la condotta dell’indebita destinazione di denaro o cose mobili?,il destinare denaro o altra cosa mobile altrui ad un uso diverso da quello normativamente previsto senza margini di discrezionalità (corretta),violenza o minaccia,appropriazione di fondi pubblici,A
Domanda 170 L’indebita destinazione di denaro o cose mobili è un reato:,contro la personalità dello Stato,sussidiario (corretta),contro la morale,B
Domanda 171 – Il delitto d'oltraggio deve:,essere compiuto in presenza di almeno una persona estranea al reato,essere compiuto in presenza di più persone (corretta),essere commesso in presenza di almeno due pubblici ufficiali,B
Domanda 172 – Il reato di violenza o minaccia al pubblico ufficiale è:,un reato contenuto in una legge speciale,un reato comune (corretta),un reato proprio,B
Domanda 173 – Il delitto di resistenza al pubblico ufficiale è giustificato se:,se il pubblico ufficiale ha compiuto un atto invasivo della libertà personale,se il pubblico ufficiale non appartiene alle forze di polizia,costituisce reazione ad atti arbitrari eccedenti il limite delle funzioni del pubblico ufficiale (corretta),C
Domanda 174 – Il delitto di oltraggio deve avvenire:,in luogo pubblico o aperto al pubblico (corretta),in luogo pubblico,ovunque,A
Domanda 175 – Soggetto passivo della resistenza al pubblico ufficiale può essere:,sia il pubblico ufficiale che l'incaricato di un pubblico servizio (corretta),chiunque,solo il pubblico ufficiale,A
Domanda 176 – L'offesa nell'oltraggio colpisce:,Onore del pubblico ufficiale,Onore e prestigio del pubblico ufficiale (corretta),Dignità del pubblico ufficiale,B
Domanda 177 – Nella violenza o minaccia al pubblico ufficiale la condotta è volta a:,condizionare il futuro operato del pubblico ufficiale (corretta),ostacolare il compimento di un atto del pubblico ufficiale,ledere la dignità del pubblico ufficiale,A
Domanda 178 – La pena per il delitto di violenza o minaccia al pubblico ufficiale è diminuita se:,la violenza o minaccia è diretta all'adozione di un atto d'ufficio,la violenza o minaccia è diretta ad ottenere un atto contrario ai doveri d'ufficio (corretta),la violenza o minaccia è diretta a far omettere un atto d'ufficio,B
Domanda 179 – La resistenza al pubblico ufficiale è diretta a:,opporsi al compimento di un atto d’ufficio (corretta),costringere il pubblico ufficiale a compiere un atto d’ufficio,costringere il pubblico ufficiale ad omettere un atto d’ufficio,A
Domanda 180 – L’oltraggio è estinto se:,risarcisce il danno a favore dell’ente pubblico,il reo prima del giudizio risarcisce integralmente il danno a favore del pubblico ufficiale offeso e della Pubblica Amministrazione (corretta),si scusa pubblicamente,B
Domanda 181 Qual è il bene giuridico tutelato nei delitti contro l’amministrazione della giustizia?,"L’interesse all’acquisizione della notizia criminosa da parte dell’Autorità Giudiziaria, affinché la stessa sia messa in condizione di esercitare correttamente l’azione penale (corretta)",L’interesse che la procedura di notificazione venga correttamente eseguita da parte del soggetto incaricato,L’interesse a che l’imputato non menta nel corso dell’interrogatorio,A
Domanda 182 Quali possono essere i soggetti attivi dei delitti contro l’amministrazione della giustizia?,I reati contro l’amministrazione della giustizia sono stati depenalizzati,"Essendo reati propri, soltanto determinati soggetti che per le funzioni svolte sono posti in particolare relazione con l’interesse tutelato, ovvero pubblico ufficiale ed incaricato di pubblico servizio","Qualunque soggetto, trattandosi di reati comuni (corretta)",C
"Domanda 183 Il dolo rappresenta il normale criterio dell’imputazione soggettiva. Componenti proprie dell’elemento psicologico del dolo sono rappresentazione e volontà, in ordine alle quali è corretto affermare che...","La sufficienza dello stato di dubbio, ai fini dell’esistenza del dolo, è da escludere laddove la norma esiga la piena conoscenza di uno o più elementi del fatto di reato (corretta)",Il dolo non è previsto dal nostro ordinamento giuridico,In ogni caso è sufficiente lo stato di dubbio per la configurazione del dolo,A
Domanda 184 Quale titolo del Libro II del codice penale è dedicato ai Delitti contro l’Amministrazione della Giustizia?,Titolo III (corretta),Titolo II,Titolo I,A
Domanda 185 Quando si configura il delitto di omessa denuncia di reato da parte del cittadino?,"Nel caso di delitto contro la personalità dello Stato, per il quale la legge stabilisce l’ergastolo (corretta)",Sempre,Mai,A
Domanda 186 La nozione di Pubblico Ufficiale da quale articolo è fornita?,Art. 359 c.p.,Art. 357 c.p. (corretta),Art. 360 c.p.,B
Domanda 187 Il dolo è specifico quando...,"Oltre alla previsione e volontà di tutti gli elementi che compongono il reato, è necessario che l’agente si sia prefisso anche un fine ulteriore (corretta)",È sufficiente una previsione generica degli elementi costitutivi del fatto di reato,Non esiste questa particolare forma di dolo,A
Domanda 188 Il dolo è generico...,Non esiste questa particolare forma di dolo,"Quando ai fini della punibilità, è sufficiente che l’agente abbia previsto e voluto tutti gli elementi che compongono il reato (corretta)","Quando oltre alla previsione e volontà di tutti gli elementi che compongono il reato, è necessario che l’agente si sia prefisso anche un fine ulteriore",B
Domanda 189 I reati speciali o propri:,Sono quei reati per il quale la legge richiede una speciale qualifica del soggetto attivo. Essi a loro volta si distinguono in reati propri esclusivi e reati propri non esclusivi (corretta),Sono quei reati per i quali la legge non richiede nessuna speciale qualifica del soggetto attivo,Non esiste questa tipologia di reati,A
Domanda 190 L’art. 361 c.p. contempla un’aggravante di carattere soggettivo?,"Sì, al secondo comma, prevedendo che se il colpevole è un ufficiale o un agente di polizia giudiziaria che ha avuto notizia di un reato del quale doveva fare rapporto, la pena è della reclusione fino a due anni",L’art. 361 c.p. non contempla nessuna aggravante di carattere soggettivo,"Sì, al secondo comma, prevedendo che se il colpevole è un ufficiale o un agente di polizia giudiziaria che ha avuto notizia di un reato del quale doveva fare rapporto, la pena è della reclusione fino ad un anno (corretta)",C
Domanda 191 – Qual è l’oggetto materiale su cui incidono le condotte criminose descritte nel Capo III del Titolo VII del Libro II del Codice Penale?,Nessun oggetto materiale,La persona,Il documento (corretta),C
"Domanda 192 – Cosa si intende, secondo l’orientamento prevalente, per fede pubblica?",La fiducia riposta nell’Autorità Giudiziaria nell’ambito di un procedimento penale,La fiducia che la collettività ripone nelle istituzioni democratiche,Si intende la fiducia che la collettività ripone in determinati oggetti o simboli sulla cui veridicità deve potersi fare affidamento per rendere più sicuro ed affidabile il traffico giuridico ed economico (corretta),C
"Domanda 193 – L’art. 476 c.p., sanzionando la condotta del P.U. che commette falsità materiale in atti pubblici…",Descrive una fattispecie di reato comune,Tale fattispecie non è prevista dal c.p.,Descrive una fattispecie di reato proprio (corretta),C
"Domanda 194 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, contraffa o altera certificati o autorizzazioni amministrative [...] è responsabile del delitto di…",Falsità materiale commessa dal pubblico ufficiale in certificati o autorizzazioni amministrative (corretta),Peculato,Concussione,A
"Domanda 195 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, forma un atto falso o altera un atto vero, è responsabile del reato di…",Falsità ideologica commessa dal Pubblico Ufficiale in atti pubblici,Non viene commessa nessuna fattispecie di reato,Falsità materiale commessa dal pubblico ufficiale in atti pubblici (corretta),C
"Domanda 196 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, supponendo esistente un atto pubblico o privato, ne simula una copia e la rilascia in forma legale [...] è responsabile del delitto di…",Peculato,Falsità materiale commessa dal pubblico ufficiale in copie autentiche di atti pubblici o privati e in attestati del contenuto di atti (corretta),Falsità materiale commessa dal Pubblico Ufficiale in atti pubblici,B
"Domanda 197 – Il pubblico ufficiale, che, ricevendo o formando un atto nell’esercizio delle sue funzioni, attesta falsamente che un fatto è stato da lui compiuto [...] è responsabile del delitto di…",Concussione,Falsità materiale commessa dal Pubblico Ufficiale in atti pubblici,Falsità ideologica commessa dal pubblico ufficiale in atti pubblici (corretta),C
Domanda 198 – La nozione di Pubblico Ufficiale da quale articolo è fornita?,Art. 360 c.p.,Art. 359 c.p. (corretta),Art. 357 c.p.,B
Domanda 199 – Il delitto di falsità materiale commessa dal Pubblico Ufficiale in atti pubblici da quale articolo è previsto?,Art. 478 c.p.,Art. 476 c.p. (corretta),Il codice penale non contempla tale fattispecie di reato,B
Domanda 200 – Nel falso materiale il documento…,"È manomesso nella sua essenza materiale, ovvero nella sua genuinità (corretta)",È pienamente autentico,"Pur provenendo dal soggetto che risulta esserne l’autore, contiene dichiarazioni menzognere",A
Domanda 201 – Qual è il bene giuridico tutelato dal reato di omicidio?,La vita (corretta),L’onore,Il patrimonio,A
Domanda 202 – Quando operano la colpa e la preterintenzione?,In assenza di indicazione normativa,Operano solo nei casi espressamente previsti dalla legge (corretta),Solo per i reati contro patrimonio,B
